BT11,BT12,Lat,Long,cloud,Jd,In Situ,SVR,ANN,RF,Delta SVR,Delta ANN,Delta RF
22.131189,20.594721,16.281799,67.860527,1,137,31,30.734,30.777,30.884,0.266,0.223,0.116
24.204309,22.989496,22.515617,67.030632,0,158,30.200001,30.021,30.725,30.012,0.179001,-0.524999,0.188001
-30.631781,-32.384682,4.136163,75.26976,1,253,28.799999,28.887,28.872,28.921,-0.087001,-0.072001,-0.121001
20.269678,19.472376,22.674767,60.598938,0,55,22.9,23.394,23.847,23.021,-0.494,-0.947,-0.121
22.52331,21.271631,21.954184,61.261269,0,329,27.1,27.412,27.304,27.064,-0.312,-0.204,0.036
-15.084967,-18.111731,14.335303,70.120377,1,180,28.799999,28.899,28.778,28.808,-0.099001,0.021999,-0.008001
25.351007,23.930811,14.906525,67.348007,1,147,32,30.814,30.716,31.628,1.186,1.284,0.372
18.174921,16.358149,8.486429,63.033703,1,342,28.1,28.083,28.113,28.148,0.017,-0.013,-0.048
-13.747808,-16.900976,4.331781,65.962769,1,355,29.200001,28.944,28.894,29.259,0.256001,0.306001,-0.058999
23.967218,23.012415,14.040238,68.053703,0,77,28.4,28.467,28.755,28.381,-0.067,-0.355,0.019
24.774927,23.873255,14.072556,65.932358,0,93,28.9,28.972,29.069,28.866,-0.072,-0.169,0.034
20.469507,18.635523,13.54892,69.564796,0,156,29.1,30.261,30.213,29.378,-1.161,-1.113,-0.278
23.390528,23.390528,8.288244,73.055473,1,241,31.799999,28.259,28.718,30.391,3.540999,3.081999,1.408999
18.399836,16.972498,17.722036,62.139027,1,338,26.4,26.51,26.249,26.614,-0.11,0.151,-0.214
-52.847038,-53.045128,12.729548,72.250648,1,157,29.9,29.756,29.67,29.857,0.144,0.23,0.043
16.870813,14.69665,5.378562,65.649704,0,194,29.799999,29.304,29.369,29.383,0.495999,0.430999,0.416999
17.909632,15.709375,9.666236,65.519691,1,11,28.200001,28.254,27.733,28.179,-0.053999,0.467001,0.021001
8.034021,6.532037,21.397356,61.752785,1,363,25.200001,25.535,25.864,25.171,-0.334999,-0.663999,0.029001
23.065851,21.893396,12.482974,72.055161,1,15,27.799999,28.323,28.222,27.956,-0.523001,-0.422001,-0.156001
20.400263,19.171778,21.956274,63.518467,1,84,26.700001,25.769,25.698,26.53,0.931001,1.002001,0.170001
-19.139624,-21.353064,13.27578,72.432198,1,250,29,28.417,28.131,28.831,0.583,0.869,0.169
20.965387,19.816309,10.449891,63.786823,1,49,27.5,27.579,27.606,27.584,-0.079,-0.106,-0.084
23.440088,22.269373,14.287497,67.519279,1,101,29.4,29.425,29.616,29.291,-0.025,-0.216,0.109
17.525171,14.943476,8.703157,73.750702,0,270,28.5,28.612,28.781,28.746,-0.112,-0.281,-0.246
-55.422081,-56.298119,6.243584,66.165695,1,182,29.200001,29.317,28.964,29.18,-0.116999,0.236001,0.020001
-27.051046,-28.574209,3.839737,72.686188,1,205,28.799999,28.784,29.331,28.817,0.015999,-0.531001,-0.017001
-32.283913,-33.98008,18.732061,66.40715,1,201,28.799999,28.64,28.206,28.827,0.159999,0.593999,-0.027001
-29.213354,-33.98011,8.343656,72.010849,1,167,29.9,29.424,29.331,29.564,0.476,0.569,0.336
25.804865,24.669947,14.204646,68.350487,1,126,31.6,30.608,30.478,30.888,0.992,1.122,0.712
-24.61817,-28.143866,15.418311,66.372704,1,99,29.299999,29.747,29.351,29.66,-0.447001,-0.051001,-0.360001
19.514887,18.510889,14.508876,69.706139,1,174,28.9,29.125,28.938,28.974,-0.225,-0.038,-0.074
17.984125,16.545893,18.965229,68.090523,1,39,24.700001,25.716,25.73,24.948,-1.015999,-1.029999,-0.247999
20.120722,18.173914,5.486188,73.537407,0,31,27.799999,27.924,28.184,27.819,-0.124001,-0.384001,-0.019001
-7.153388,-10.224737,14.723002,73.285934,1,239,28.5,28.226,28.036,28.317,0.274,0.464,0.183
-8.587286,-12.390081,6.992761,74.163994,1,182,29.200001,29.224,29.065,29.749,-0.023999,0.135001,-0.548999
25.37536,24.879175,15.675068,66.187378,0,59,27.5,27.505,27.711,27.637,-0.005,-0.211,-0.137
8.657587,6.122888,12.57818,73.303032,1,259,27.799999,28.51,28.408,27.846,-0.710001,-0.608001,-0.046001
15.487574,13.800104,7.131458,74.885796,1,191,29.1,28.909,29.035,28.97,0.191,0.065,0.13
